totalTradedVolume,yearLow,lastUpdateTime,open,pChange,totalTradedValue,symbol,priority,meta,yearHigh,chartTodayPath,chart365dPath,dayHigh,lastPrice,ffmc,date30dAgo,perChange30d,chart30dPath,change,perChange365d,identifier,dayLow,previousClose,nearWKL,date365dAgo,series,nearWKH,stockIndClosePrice
438924282,21743.65,27-Feb-2026 16:00:00,25459.85,-1.25,386344515173.9,NIFTY 50,1,,26373.2,https://nsearchives.nseindia.com/today/NIFTY-50.svg,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,25476.4,25178.65,1145022413.7,27-Jan-2026,0.01,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,-317.8999999999978,11.68,NIFTY 50,25141.3,25496.55,-15.797715654915342,25-Feb-2025,,4.529408642106378,0
34620755,835.03,,898.6,-1.24,30801393308.4,HDFCBANK,0,"{'symbol': 'HDFCBANK', 'companyName': 'HDFC Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['W3', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE040A01034', 'slb_isin': 'INE040A01034', 'listingDate': '1995-11-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1020.5,https://nsearchives.nseindia.com/today/HDFCBANKEQN.svg,https://nsearchives.nseindia.com/365d/HDFCBANK-EQ.svg,898.95,887.45,13541658101223.89,27-Jan-2026,-4.2,https://nsearchives.nseindia.com/30d/HDFCBANK-EQ.svg,-11.15,4.36,HDFCBANKEQN,885,898.6,-6.2776187681879785,27-Feb-2025,EQ,13.037726604605583,0
23141724,1264.1,,1326.3,0.76,30195552892.44,INFY,0,"{'symbol': 'INFY', 'companyName': 'Infosys Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE009A01021', 'slb_isin': 'INE009A01021', 'listingDate': '1995-02-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1775.85,https://nsearchives.nseindia.com/today/INFYEQN.svg,https://nsearchives.nseindia.com/365d/INFY-EQ.svg,1335,1298.9,4537211710701.27,27-Jan-2026,-22.81,https://nsearchives.nseindia.com/30d/INFY-EQ.svg,9.8,-26.38,INFYEQN,1294.2,1289.1,-2.752946760541111,27-Feb-2025,EQ,26.857561167891426,0
13754648,1559.5,,1910,-2.47,25899314451.6,BHARTIARTL,0,"{'symbol': 'BHARTIARTL', 'companyName': 'Bharti Airtel Limited', 'industry': 'Telecom - Cellular & Fixed line services', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE397D01024', 'slb_isin': 'INE397D01024', 'listingDate': '2002-02-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",2174.5,https://nsearchives.nseindia.com/today/BHARTIARTLEQN.svg,https://nsearchives.nseindia.com/365d/BHARTIARTL-EQ.svg,1915,1882,5229500118729.56,27-Jan-2026,-4.63,https://nsearchives.nseindia.com/30d/BHARTIARTL-EQ.svg,-47.6,14.03,BHARTIARTLEQN,1870.1,1929.6,-20.679705033664636,27-Feb-2025,EQ,13.451368130604736,0
15096898,1200.1,,1400,-1.82,20919016713.7,ICICIBANK,0,"{'symbol': 'ICICIBANK', 'companyName': 'ICICI Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['E2', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE090A01021', 'slb_isin': 'INE090A01021', 'listingDate': '1997-09-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1500,https://nsearchives.nseindia.com/today/ICICIBANKEQN.svg,https://nsearchives.nseindia.com/365d/ICICIBANK-EQ.svg,1402.2,1379.4,9834897014553.5,27-Jan-2026,1.32,https://nsearchives.nseindia.com/30d/ICICIBANK-EQ.svg,-25.5,12.84,ICICIBANKEQN,1376.7,1404.9,-14.940421631530722,27-Feb-2025,EQ,8.039999999999994,0
12031440,1114.85,,1398,-0.85,16813456142.4,RELIANCE,0,"{'symbol': 'RELIANCE', 'companyName': 'Reliance Industries Limited', 'industry': 'Refineries & Marketing', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE002A01018', 'slb_isin': 'INE002A01018', 'listingDate': '1995-11-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1611.8,https://nsearchives.nseindia.com/today/RELIANCEEQN.svg,https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg,1410.4,1394.9,9392107880816.78,27-Jan-2026,1.04,https://nsearchives.nseindia.com/30d/RELIANCE-EQ.svg,-11.9,15.56,RELIANCEEQN,1388.1,1406.8,-25.119971296587003,27-Feb-2025,EQ,13.45700459114033,0
57272916,194.8,,246.05,0.41,14220292313.64,ETERNAL,0,"{'symbol': 'ETERNAL', 'companyName': 'ETERNAL LIMITED', 'industry': 'E-Retail/ E-Commerce', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE758T01015', 'slb_isin': 'INE758T01015', 'listingDate': '2021-07-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",368.45,https://nsearchives.nseindia.com/today/ETERNALEQN.svg,https://nsearchives.nseindia.com/365d/ETERNAL-EQ.svg,252,247.5,1773260906212.35,27-Jan-2026,-2.5,https://nsearchives.nseindia.com/30d/ETERNAL-EQ.svg,1,8.06,ETERNALEQN,243.75,246.5,-27.05338809034907,27-Feb-2025,EQ,32.82670647306283,0
5083717,2561.3,,2681.6,-0.3,13445923093.3,TCS,0,"{'symbol': 'TCS', 'companyName': 'Tata Consultancy Services Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE467B01029', 'slb_isin': 'INE467B01029', 'listingDate': '2004-08-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",3710,https://nsearchives.nseindia.com/today/TCSEQN.svg,https://nsearchives.nseindia.com/365d/TCS-EQ.svg,2688.6,2639.7,2688063491101.79,27-Jan-2026,-16.41,https://nsearchives.nseindia.com/30d/TCS-EQ.svg,-8,-26.93,TCSEQN,2626.1,2647.7,-3.0609456135556017,27-Feb-2025,EQ,28.84905660377359,0
10700355,680,,1207,-0.64,12869530965.6,SBIN,0,"{'symbol': 'SBIN', 'companyName': 'State Bank of India', 'industry': 'Public Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'N3', 'N4', 'IL', 'N2', 'N5', 'N6'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE062A01020', 'slb_isin': 'INE062A01020', 'listingDate': '1995-03-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1234.7,https://nsearchives.nseindia.com/today/SBINEQN.svg,https://nsearchives.nseindia.com/365d/SBIN-EQ.svg,1211.8,1201.8,4972463803034.09,27-Jan-2026,14.11,https://nsearchives.nseindia.com/30d/SBIN-EQ.svg,-7.7,70.73,SBINEQN,1198.6,1209.5,-76.73529411764704,27-Feb-2025,EQ,2.664614886207183,0
3765500,2425,,3460,-2.35,12864491855,M&M,0,"{'symbol': 'M&M', 'companyName': 'Mahindra & Mahindra Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE101A01026', 'slb_isin': 'INE101A01026', 'listingDate': '1996-01-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",3839.9,https://nsearchives.nseindia.com/today/M&MEQN.svg,https://nsearchives.nseindia.com/365d/M&M-EQ.svg,3488.1,3402.6,3029007248170.94,27-Jan-2026,0.27,https://nsearchives.nseindia.com/30d/M&M-EQ.svg,-82,24.8,M&MEQN,3381.1,3484.6,-40.31340206185566,27-Feb-2025,EQ,11.388317404099068,0
